Species,Class,therm,common_name,rec,neo,mal,log_bm,log_pl,log_rec,Subclade
Acinonyx_jubatus,Mammalia,endothermic,Cheetah,79,12,3,10.7514994446561,5.84334995514342,4.36944785246702,Carnivora
Acrantophis_dumerili,Reptilia,ectothermic,Dumerils boa,22,4,2,7.44307837353573,5.14146119311863,3.09104245335832,Sanziniidae
Acrobates_pygmaeus,Mammalia,endothermic,Feathertail glider,43,0,0,2.48490664967834,5.50477618649953,3.76120011569356,Diprotodontia
Acryllium_vulturinum,Aves,endothermic,Vulturine guineafowl,39,5,4,7.19293422129159,4.53737024783279,3.66356164612965,Galliformes
Addax_nasomaculatus,Mammalia,endothermic,Addax,30,5,4,11.1562548061095,6.27720456892003,3.40119738166216,Cetartiodactyla
Aepyceros_melampus,Mammalia,endothermic,Impala,25,2,2,10.8685703541854,6.26539692449997,3.2188758248682,Cetartiodactyla
Agalychnis_callidryas,Amphibia,ectothermic,Green tree frog,73,2,1,4.34510328045195,5.17648092070126,4.29045944114839,Hylidae
Agama_agama,Reptilia,ectothermic,Red headed rock agama,20,0,0,5.01063529396805,4.62469183454874,2.99573227355399,Agamidae
Agapornis_fischeri,Aves,endothermic,Fischer's lovebird,28,4,2,3.87743156123069,4.6934733469828,3.3322045101752,Psittaciformes
Agapornis_nigrigenis,Aves,endothermic,Black-cheeked lovebird,108,2,0,3.7013019736182,4.70340285768706,4.68213122712422,Psittaciformes
Agkistrodon_contortrix,Reptilia,ectothermic,Copperhead,21,2,1,7.20785987029268,5.08366406357558,3.04452243772342,Viperidae
Ailurus_fulgens,Mammalia,endothermic,Red panda,38,2,1,8.49699048403306,5.52551850285694,3.63758615972639,Carnivora
Aix_galericulata,Aves,endothermic,Mandarin duck,32,1,1,6.34042984827384,4.96998605213536,3.46573590279973,Anseriformes
Aix_sponsa,Aves,endothermic,Wood duck,33,5,3,6.48858163624505,4.96661696072323,3.49650756146648,Anseriformes
Alytes_cisternasii,Amphibia,ectothermic,Iberian midwife toad,26,0,0,3.91202300465443,4.36845325239226,3.25809653802148,Alytidae
Alytes_muletensis,Amphibia,ectothermic,Mallorcan midwife toad,216,0,0,3.68887945335877,4.54252765426318,5.37527840768417,Alytidae
Ambystoma_mexicanum,Amphibia,ectothermic,Axolotl,73,5,5,5.7037824753017,5.06844206053915,4.29045944114839,Ambystomatidae
Ambystoma_tigrinum,Amphibia,ectothermic,Tiger salamander,20,4,2,5.7990926547417,5.06696441247861,2.99573227355399,Ambystomatidae
Anas_acuta,Aves,endothermic,Northern pintail,23,1,1,6.85078272917776,4.95464884228234,3.13549421592915,Anseriformes
Anas_platyrhynchos,Aves,endothermic,Aylesbury duck,33,7,4,6.73746505407323,4.94673927631683,3.49650756146648,Anseriformes
Anaxyrus_baxteri,Amphibia,ectothermic,Wyoming toad,200,5,2,4.20469262007984,5.5271657406729,5.29831736654804,Bufonidae
Anolis_equestris,Reptilia,ectothermic,Knight anole,20,4,3,5.2470240722691,4.98335153333908,2.99573227355399,Dactyloidae
Anomaloglossus_beebei,Amphibia,ectothermic,Beebe's rocket frog,42,0,0,2.92316158021738,4.84963575510853,3.73766961828337,Dendrobatidae
Anthracoceros_malayanus,Aves,endothermic,Black hornbill,22,0,0,6.95654544299053,5.40684631396915,3.09104245335832,Bucerotiformes
